feature,importance
meta_target_2_5_vs_target_2_3,0.06334022820897649
meta_target_9_8_vs_target_9_7,0.06331157926382137
meta_target_2_6_vs_target_6_1,0.06313288669961378
meta_target_2_8_vs_target_3_3,0.06290298992728936
num_feature_1285,0.0624276432678316
meta_target_6_4_vs_target_2_4,0.0624230961442938
num_feature_2064,0.062106206026153174
num_feature_1123,0.06149188513692613
num_feature_1386,0.06143673515681324
meta_target_3_5_vs_target_2_4,0.06134954152053836
meta_target_1_2_vs_target_3_2,0.06124621586231783
num_feature_761,0.06106073348278837
num_feature_622,0.06074509836767324
num_feature_1803,0.0599312881537373
meta_target_1_4_vs_target_1_5,0.05904937228406182
num_feature_2269,0.05897912753491693
num_feature_96,0.05897733955187277
meta_target_6_5_vs_target_6_1,0.058856548617473844
num_feature_2036,0.05883011168820534
num_feature_1667,0.05879855492697675
meta_target_3_5_vs_target_6_5,0.05877248416797636
meta_target_1_4_vs_target_2_5,0.058726569797587745
is_null_num_feature_41,0.05838656593875776
null_pca_10,0.058345845276159956
num_feature_1370,0.058330294149712095
num_feature_1906,0.05803767582710366
meta_target_7_2_vs_target_9_2,0.05798694834918747
ratio_750_1102,0.057820387255690074
num_feature_141,0.05749112554050507
meta_target_5_1_vs_target_9_3,0.057273788171361695
meta_target_9_7_vs_target_9_5,0.05714068575600331
num_feature_1216,0.05678094376554704
num_feature_31,0.05677865636197697
meta_target_1_2_vs_target_9_2,0.05620776555181807
freq_cat_feature_40,0.05601574361715163
num_feature_386,0.055816587229413475
num_feature_277,0.0557222129259147
num_feature_1700,0.05569187325736364
num_feature_780_squared,0.0556895319460737
meta_target_1_3_vs_target_1_2,0.05558188982955293
meta_target_9_8_vs_target_6_2,0.0553742550570092
num_feature_1586,0.05522991854316296
num_feature_318,0.05510975682901491
meta_target_3_2_vs_target_5_1,0.05452490625231155
meta_target_2_2_vs_target_1_2,0.05403165451610528
num_feature_1342,0.05384933349623538
meta_target_3_1_vs_target_3_3,0.053804373834001086
meta_target_6_3_vs_target_2_6,0.05348108961188497
meta_target_2_5_vs_target_3_1,0.05335585927705481
num_feature_1092,0.05329638153646376
meta_target_2_7_vs_target_6_4,0.05294056924433141
num_feature_1265,0.0527855093901196
meta_target_9_6_vs_target_9_5,0.0527176554154291
meta_target_2_4_vs_target_8_3,0.05242158942496812
meta_target_3_2_vs_target_3_5,0.05229731680061369
meta_target_1_3_vs_target_2_1,0.051650241198513996
meta_target_1_1_vs_target_3_2,0.05162117596683487
meta_target_6_4_vs_target_6_5,0.05083373528076821
num_feature_1624,0.0507504052870935
is_null_num_feature_352,0.050695033670692016
num_feature_292,0.0506218993016909
meta_target_7_2_vs_target_6_4,0.05038932231733361
meta_target_6_4_vs_target_3_5,0.04974833847185241
num_feature_56,0.049589794866044624
num_feature_2076,0.04952051375181858
num_feature_1390,0.04935709358854156
num_feature_2228,0.04924134244545545
meta_target_6_2_vs_target_9_8,0.04919448116530569
meta_target_7_3_vs_target_10_1,0.0486658275031514
meta_target_2_8_vs_target_3_2,0.04859718635486677
num_feature_2235,0.04857916345668612
num_feature_10,0.04856344714154559
meta_target_5_1_vs_target_5_2,0.04849263985872306
meta_target_2_3_vs_target_2_1,0.048448075125842566
meta_target_5_1_vs_target_6_4,0.04843957034466304
meta_target_3_4_vs_target_6_1,0.0483896112786252
ratio_83_108,0.04822331390802572
is_null_num_feature_123,0.04821801297892989
num_feature_646,0.047887593839852784
meta_target_2_1_vs_target_6_2,0.0478791265881935
num_feature_1783,0.04767854533113703
meta_target_6_3_vs_target_9_8,0.04714333716135266
meta_target_7_3_vs_target_2_4,0.04708353601486116
num_feature_1918,0.04685204920702444
num_feature_1982,0.046837249695929214
num_feature_1541,0.046725253083891444
meta_target_6_2_vs_target_7_3,0.046565071780888555
num_feature_1997,0.04645718457437218
meta_target_6_5_vs_target_6_4,0.046250553672767224
num_feature_1988,0.04608861669881337
num_feature_231,0.0459323955790948
meta_target_2_3_vs_target_6_2,0.04570576242967956
meta_target_2_2_vs_target_3_1,0.04563253426064046
num_feature_613,0.04561601674935638
num_feature_1068,0.045488886351718015
meta_target_6_5_vs_target_3_2,0.04518092779982874
meta_target_10_1_vs_target_3_1,0.04515222917159749
meta_target_10_1_vs_target_9_7,0.044992112283971666
meta_target_3_2_vs_target_1_4,0.04469553719862438
ratio_1953_2259,0.04466257563251886
meta_target_9_7_vs_target_3_1,0.044556807901494556
meta_target_6_4_vs_target_10_1,0.043853895132991115
int_27_x_62,0.04380167255212274
meta_target_10_1_vs_target_7_1,0.043796172101709316
num_feature_190,0.04373550136491737
is_null_num_feature_2278,0.04365765806428316
meta_target_4_1_vs_target_7_1,0.04360951208628658
num_feature_1069,0.04358497667255971
is_null_num_feature_601,0.04354699752444593
meta_target_2_5_vs_target_2_1,0.04350544936520111
diff_7_minus_42,0.04338741679707254
meta_target_7_3_vs_target_2_5,0.04336743075822353
ratio_83_103,0.04336234352392786
null_pca_0,0.043357147301631836
meta_target_2_6_vs_target_4_1,0.043337123348378824
num_feature_208,0.0430591848935919
num_feature_564,0.04297140317889031
meta_target_6_2_vs_target_5_1,0.042377407493480374
meta_target_3_4_vs_target_3_5,0.042321524806195075
null_pca_16,0.042284080911132116
num_feature_83,0.0421438395990019
num_feature_172,0.041759837820607174
num_feature_2260,0.041686015560565254
num_feature_1662,0.04148026831876099
meta_target_3_3_vs_target_3_4,0.041392742396338195
meta_target_5_1_vs_target_3_1,0.0412924012347996
meta_target_2_3_vs_target_6_4,0.041112350396732174
meta_target_7_3_vs_target_9_1,0.04103965068901879
meta_target_9_4_vs_target_9_6,0.04095734354955196
meta_target_9_5_vs_target_6_2,0.04084799665390663
num_feature_2055,0.04064724005851204
ratio_1218_49,0.04062499413578702
is_null_num_feature_338,0.04060859004499553
meta_target_6_5_vs_target_9_6,0.040606944139266694
meta_target_2_4_vs_target_7_3,0.040471703576103406
is_null_num_feature_1693,0.04037963835561913
num_feature_998,0.04017381152739502
is_null_num_feature_314,0.040057431214727185
num_feature_1423,0.03995986729027777
meta_target_6_3_vs_target_9_1,0.03994042321329712
num_feature_1169,0.03975042596217546
int_62_x_76,0.03954891675547651
num_feature_42,0.0395143682110102
meta_target_3_4_vs_target_5_1,0.03942256036482179
num_feature_437,0.03925553730114419
meta_target_4_1_vs_target_9_3,0.03918748182079605
null_pca_18,0.03896540790760947
meta_target_6_2_vs_target_6_3,0.038763623721188294
num_feature_760,0.0387480187588639
meta_target_1_5_vs_target_1_2,0.03870293357632603
num_feature_25,0.03861558561369362
num_feature_331,0.038596970183628024
meta_target_2_1_vs_target_2_3,0.038577437432722635
meta_target_9_4_vs_target_9_5,0.03846235070983923
ratio_1953_2196,0.038343350703058277
meta_target_9_1_vs_target_7_3,0.03833664663070012
is_null_num_feature_1214,0.03825754871146975
is_null_num_feature_1586,0.03822632542778329
num_feature_95,0.0382213509895293
num_feature_21,0.03812300729056367
num_feature_2326,0.03793914921769087
meta_target_6_4_vs_target_9_6,0.037857838787632436
meta_target_9_3_vs_target_6_3,0.0377735077200199
is_null_num_feature_2006,0.03761560547813356
num_feature_1028,0.03734427742050653
ratio_76_79,0.037314437983065205
int_25_x_27,0.03722198787092994
meta_target_5_1_vs_target_9_7,0.03719855497412123
row_mean,0.03717638773047082
num_feature_163,0.037036076157168946
meta_target_6_2_vs_target_9_7,0.037014902140913145
meta_target_9_1_vs_target_3_2,0.03698404199530174
num_feature_2104,0.03681075098882135
num_feature_1626,0.03678607531472429
meta_target_2_4_vs_target_8_1,0.03677972690887017
num_feature_235,0.03674146635146425
num_feature_1316,0.03673822865176959
num_feature_2200,0.03673085604589176
meta_target_3_4_vs_target_2_3,0.036636653823683744
meta_target_2_7_vs_target_9_6,0.036473339744309365
num_feature_348,0.03645786993802419
diff_7_minus_132,0.03645551380735589
meta_target_9_1_vs_target_4_1,0.036199431165827724
num_feature_845,0.036100549215367886
meta_target_2_8_vs_target_3_4,0.03597523036969703
num_feature_2072,0.03597384147451737
num_feature_1243,0.03593979406206061
num_feature_391,0.03588603563522705
int_23_x_87,0.03572792271679812
num_feature_1524,0.03559379178341115
num_feature_1702,0.035515295260588296
num_feature_2238,0.035383395051361205
meta_target_1_3_vs_target_3_2,0.03526852797245093
meta_target_1_5_vs_target_9_4,0.03521763889721149
num_feature_1575,0.03515763984467782
num_feature_327,0.03506076709654829
meta_target_5_1_vs_target_7_3,0.03502576836535467
meta_target_3_4_vs_target_3_3,0.034960961731616294
num_feature_1296,0.03496031613690277
is_null_num_feature_1803,0.034933431692165506
num_feature_591,0.0348208588921328
num_feature_903,0.034583292832561514
